t,VolFlow
0.0,-13.22
0.00581,95.24
0.01031,137.88
0.01368,173.7
0.01704,216.33
0.02154,258.97
0.0249,299.91
0.02825,342.54
0.03161,385.18
0.03611,427.82
0.04062,468.76
0.04512,511.4
0.05191,552.35
0.05985,593.3
0.07467,627.46
0.10214,629.28
0.11709,593.54
0.13774,568.05
0.14697,527.17
0.16077,493.13
0.17571,460.8
0.1838,419.92
0.19303,379.04
0.20226,338.16
0.21264,299
0.22301,259.83
0.23339,218.95
0.24262,179.78
0.24959,121.84
0.25425,79.24
0.25775,38.34
0.26241,-4.27
0.27047,-31.51
0.27956,9.45
0.29323,45.31
0.31385,33.46
0.33791,26.74
0.36078,38.77
0.38258,11.59
0.40666,-10.48
0.43299,-13.77
0.45933,-20.48
0.48454,-30.61
0.51198,-16.85
0.53946,-15.03
0.56467,-33.68
0.59214,-30.15
0.61962,-35.15
0.64593,-21.4
0.67115,-41.75
0.69748,-45.05
0.72381,-44.94
0.74667,-22.68
0.76496,-13.22
