t,p
0.0,71.033
0.00629,72.119
0.00964,75.493
0.01187,78.048
0.02084,86.125
0.02651,88.578
0.03446,91.032
0.04699,93.384
0.05952,95.633
0.07893,97.474
0.09605,99.52
0.12122,99.419
0.14526,98.5
0.1659,96.763
0.18996,95.333
0.21286,94.21
0.23689,94.211
0.24952,91.963
0.25645,89.408
0.26108,86.955
0.26457,84.399
0.27148,82.355
0.27714,84.809
0.28052,87.364
0.28504,89.716
0.31137,89.104
0.33767,89.616
0.36401,88.698
0.3892,87.472
0.41554,86.656
0.43959,85.328
0.45908,83.591
0.48656,82.877
0.50947,81.447
0.53581,80.324
0.56214,79.61
0.58734,78.384
0.61252,77.67
0.63886,76.751
0.66405,75.628
0.68697,74.3
0.70988,72.972
0.73393,71.645
0.75798,70.726
0.76496,71.033
